date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:27:06	6215/6215	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Jan%202023%2012:57:49%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fclasscentral%2Fimages%2Fcollections%2Fcollection-ivy-league-moocs-social.jpg?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=0d3af0d0d31cdbdc684a726b330a759f	C:/My%20Web%20Sites/class6/ccweb.imgix.net/https_/classcentral/images/collections/collection-ivy-league-moocs-social5b92.jpg	(from https://classcentral/)
10:27:07	817546/817546	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2015:27:04%20GMT	https://classcentral/collection/ivy-league-moocs	C:/My%20Web%20Sites/class6/classcentral/collection/ivy-league-moocs.html	(from https://classcentral/)
10:27:07	178706/178706	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2014:21:12%20GMT	https://classcentral/report/100-most-popular-online-courses-2021/	C:/My%20Web%20Sites/class6/classcentral/report/100-most-popular-online-courses-2021/index.html	(from https://classcentral/)
10:27:08	176844/176844	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2014:21:11%20GMT	https://classcentral/report/most-popular-courses-2022/	C:/My%20Web%20Sites/class6/classcentral/report/most-popular-courses-2022/index.html	(from https://classcentral/)
10:27:08	50744/50744	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Mar%202023%2012:10:25%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fclasscentral%2Fimages%2Fcollections%2Fcollection-ivy-league-moocs-social.jpg?auto=format&h=420&ixlib=php-3.3.1&s=c49b305f32e1e971696b9852e3971c6b	C:/My%20Web%20Sites/class6/ccweb.imgix.net/https_/classcentral/images/collections/collection-ivy-league-moocs-social1fe9.jpg	(from https://classcentral/)
10:27:08	512889/512889	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2014:21:14%20GMT	https://classcentral/report/coursera-free-online-courses/	C:/My%20Web%20Sites/class6/classcentral/report/coursera-free-online-courses/index.html	(from https://classcentral/)
10:27:09	5751/5751	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Mar%202023%2023:45:37%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fclasscentral%2Fimages%2Fcollections%2Fcollection-coursera-free-courses.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=dbef6e5a11e80f652ab6a5ce5eb593b8	C:/My%20Web%20Sites/class6/ccweb.imgix.net/https_/classcentral/images/collections/collection-coursera-free-coursesd038.png	(from https://classcentral/)
10:27:09	96645/96645	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Mar%202023%2022:30:36%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fclasscentral%2Fimages%2Fcollections%2Fcollection-coursera-free-courses.png?auto=format&h=420&ixlib=php-3.3.1&s=9044610de77ddba19697f770dd2531c7	C:/My%20Web%20Sites/class6/ccweb.imgix.net/https_/classcentral/images/collections/collection-coursera-free-courses08e8.png	(from https://classcentral/)
10:27:09	6083/6083	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Mar%202023%2010:04:55%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fclasscentral%2Fimages%2Fcollections%2Fcollection-free-certificates.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=f880669c2a69683d851d6be4ee71652e	C:/My%20Web%20Sites/class6/ccweb.imgix.net/https_/classcentral/images/collections/collection-free-certificates7462.png	(from https://classcentral/)
10:27:10	93874/93874	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Mar%202023%2012:10:22%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fclasscentral%2Fimages%2Fcollections%2Fcollection-free-certificates.png?auto=format&h=420&ixlib=php-3.3.1&s=bc50a602c38dbf30802649312c6a4474	C:/My%20Web%20Sites/class6/ccweb.imgix.net/https_/classcentral/images/collections/collection-free-certificatesbc95.png	(from https://classcentral/)
